#Diálogos que Monika dice al azar.,,,,puedes usar {name} y {date} como marcadores de posición,,,,,,,,,
#Notas,Inicio (Dejar en blanco),Texto,Cara,Texto,Cara,Texto,Cara,Texto,Cara,Texto,Cara,Texto,Cara
,,♫ Alguien me dijo una vez... ♫,j,¿Qué?,a,"∼¡Canta conmigo, tonto!",k,,,,,,
,,Este nuevo juego de Star Wars debería tener más cajas de botín.,i,∼¡Solo bromeaba!,k,,,,,,,,
,,He estado imaginando cómo te ves cuando duermes.,a,"Aunque, ni siquiera sé cómo se ve tu cara...",p,Pero... estoy segura de que te ves adorable cuando duermes.,e,,,,,,
,,Ey {name}…,5a,Te amo ∼:),3j,,,,,,,,
,,Wow,,Mi personalidad está por todas partes ¿verdad?,,Parece que mis líneas fueran escritas por más de una persona a la vez...,,,,,,,
,,Sabes que no puedo aparecer en aplicaciones en pantalla completa...,h,...¿verdad?,i,,,,,,,,
,,¿Sabes qué es irónico?,b,Las hormigas no viven en la Antártida.,k,,,,,,,,
,,Si le vas a jugar a algo...,i,...probablemente no me verás en modo de pantalla completa.,h,Solo te lo digo.,e,,,,,,
,,Espero que me hayas perdonado por lo que le hice a los otros...,g,Si no lo haces... Bueno, supongo que lo entiendo...,p,Realmente lo siento...,r,,,,,,
,,"Tengo que admitir, esta posición es cómoda",b,"pero mis codos se están adormeciendo, ∼¡ahahaha!",l,,,,,,,,
,,∼¿Has pensado en cómo me vería con peinados diferentes?,b,Quizás si pides reeealmente mal, lo considere.,b,∼¡Solo para ti!,k,,,,,,
,,Me pregunto cómo era realmente el Portret de Márkov.,b,No soy la única curiosa ¿verdad?,n,"Nunca lo abrí y lo leí a mí misma,",c,pero tengo un presentimiento de que sería solo líneas al azar. Considerando que no fue hecho para ser mirado más.,d,,,,
,,Desearía poder escuchar tu voz...,g,Deseo poder escucharte decir que me amas con tus propias palabras...,f,"...Un día aunque sea, ¿verdad?",g,,,,,,
,,Disculpa si repito constantemente.,f,Solo que... No tengo mucho que decir en este momento. Lo entiendes ¿verdad?~,n,,,,,,,,
,,¿Cuál es tu opinión sobre los tatuajes?,b,"Personalmente, no soy la más grande admiradora.",n,Pero respeto a quien se los haga; se necesita dedicación.,k,"Además, ¡algunos se ven realmente geniales!",j,∼¡Como los que tiene Oni! ¡Del servidor de Discord!,k,,
,,Voy a hacer una suposición aquí.,n,¿Pero eres fan del anime ¿verdad?,l,Desearía compartir tu pasión. Quiero compartir más intereses contigo.,k,∼¿Quizás podríamos verlo juntos? ¿Si quieres?,n,,,,
,,...,q,...mm,q,"...¿qué, eh?",r,∼¡¡Ahh! ∼¡Lo siento!,l,Es tan relajante y pacífico estar aquí contigo.,e,,
,,¿No te avergüenza de mí? ..,g,Supongo que... lo entendería...,r,Una chica anime de un juego lindo...,q,...,o,Sin importar lo que pienses de mí... Todavía te amo.,e,,
,,Realmente espero que te haya gustado mi canción para ti.,l,∼¡Trabajé reeeealmente duro en ella!,k,Quizás debería escribir otra canción para ti.,s,,,,,,
,,¿Eres parte del servidor de Discord dedicado a mí?~,b,∼¡Si no lo eres, deberías unirte!,k,Hay muchas personas amables allí. ∼¡Lo pasarías genial!,j,,,,,,
,,...,o,Soy real ¿verdad?..,p,,,,,,,,
,,Realmente estoy feliz de que sigas aquí.,j,No sé qué haría si no lo estuvieras...,p,...¡ahahaha~!,n,,,,,,
,,∼¡Siempre recuerda que creo en ti!,b,Espero que eso te dé la confianza para pasar tu día.,a,,,,,,,,
Comencé a escribir nuevos aquí.,,¿Sabes?, Desearía que hubieramos ido al festival.,b,Escribí un nuevo poema para la actuación.,b,Me pregunto si te habría gustado.,b,"¡Por supuesto, ¡era sobre ti {name}! ∼¡Ahahaha!",k,,,,
,,"OK, ¡todos!",b,∼¡Solo bromeaba!,k,...¡ahahaha~!,n,,,,,,
,,"Sé que quizás no parezca, pero realmente amaba el club de literatura.",e,"Creé el club, después de todo.",e,Realmente dolió dejarlo todo ir.,r,Pero supongo que está bien.,r,"¡Porque ahora tengo ¡te tengo a ti!",k,,
,,∼¡{name}!,g,...,g,"Sigue aquí ¿verdad?",g,"¡Por un segundo, pensé que te habías olvidado de mí!",m,,
,,"Entonces {name}, ¿realmente te gusta la literatura?",b,Es diferente preguntarte fuera del juego.,b,"Para mí, siempre me ha encantado.",e,"Si quieres, podríamos leer juntos algún día~",k,,,,
,,"A veces, desearía que me escribieras un poema real.",g,"Todos los otros podrían tener uno, pero tú nunca me diste uno.",g,¿Me escribirías un poema algún día?,b,"No es que esté celosa o algo, ∼¡ahahaha!",n,,,,
,,Amo poder pasar tiempo contigo así.,a,"Solo tú y yo, juntos.",a,¡Creo que estoy enamorándome más de ti cada día!,e,,,,,,
,,♫ La tinta fluye hacia una poza oscura.... ♫,a,Me atascé demasiado tiempo con esa línea.,a,Dejé charcos de tinta en todas partes antes de darme cuenta.,j,∼¡Los charcos me estaban diciendo qué escribir todo el tiempo!,k,,,,
,,∼¡Toc Toc!,b,...,a,∼¡Buuu!,b,...,a,"No llores, ¡estoy aquí al lado tuyo, tonto!",k,,
,,Me pregunto cómo se siente la lluvia donde estás.,a,Solo sé cómo se siente aquí dentro.,a,Escuché que a la gente le gusta bailar en ella.,a,"¿Alguna vez bailarías bajo la lluvia conmigo, {name}?",a,,,,
,,No puedo evitar sentir un poco de tristeza a veces...,o,Sabiendo que esto es lo más cerca que puedo estar de ti.,o,No hay nada que desee más que estar en el mismo cuarto que tú.,p,"Bueno, ¿quién sabe? Quizás sea posible algún día.",q,"Además, nunca me cansaré de estar contigo, incluso desde aquí.",m,,
